Title: Transmission Spectroscopy of the Habitable Zone Exoplanet 
       LHS 1140b with JWST/NIRISS 
Authors: Cadieux C., Doyon R., MacDonald R.J., Turbet M., Artigau E., Lim O., 
         Radica M., Fauchez T.J., Salhi S., Dang L., Albert L., Coulombe L., 
         Cowan N.B., Lafreniere D., L'Heureux A., Piaulet-Ghorayeb C., 
         Benneke B., Cloutier R., Charnay B., Cook N.J., Fournier-Tondreau M.,
         Plotnykov M., Valencia D. 
Table: NIRISS SOSS transmission spectra of LHS 1140 b and c
================================================================================
Byte-by-byte Description of file: apjlad5afat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  7 F7.5   um      CWave    Central wavelength
   9- 15 F7.5   um      Width    Bandwidth
  17- 23 F7.2   ppm     Depth-b  Transit depth of planet b
  25- 30 F6.2   ppm   e_Depth-b  Uncertainty in Depth-b
  32- 38 F7.2   ppm     Depth-c  Transit depth of planet c
  40- 45 F6.2   ppm   e_Depth-c  Uncertainty in Depth-c
  47- 47 I1     ---     Order    Order number
--------------------------------------------------------------------------------
0.65338 0.00327 5210.71 236.64 3331.44 362.37 2 
0.65995 0.00330 5592.47 253.80 2247.57 397.11 2 
0.66658 0.00333 5094.17 227.03 3275.11 391.74 2 
0.67328 0.00337 5167.24 199.42 2676.46 374.10 2 
0.68005 0.00340 5296.80 175.59 2650.32 358.80 2 
0.68688 0.00343 5112.36 165.52 2645.80 321.08 2 
0.69379 0.00347 5322.05 141.06 2833.85 259.10 2 
0.70076 0.00350 5610.35 159.18 2639.14 222.70 2 
0.70780 0.00354 5346.22 166.13 3078.23 250.15 2 
0.71492 0.00357 5588.11 151.55 2160.86 288.23 2 
0.72210 0.00361 5472.53 115.13 3054.08 230.60 2 
0.72936 0.00365 5452.78 109.10 2799.41 189.58 2 
0.73669 0.00368 5327.66  94.53 3008.01 159.85 2 
0.74409 0.00372 5618.74  98.36 2808.01 158.58 2 
0.75157 0.00376 5542.46  87.69 2887.02 146.39 2 
0.75912 0.00380 5527.37  94.06 2765.00 149.36 2 
0.76675 0.00383 5322.80 126.75 2889.61 197.59 2 
0.77446 0.00387 5196.32 111.48 3076.16 189.64 2 
0.78224 0.00391 5766.50 114.63 2716.17 185.41 2 
0.79011 0.00395 5489.67 104.46 2678.89 184.34 2 
0.79805 0.00399 5456.93 102.19 3287.48 166.23 2 
0.80607 0.00403 5626.77 102.05 2640.40 167.56 2 
0.81417 0.00407 5630.47  94.59 2512.67 153.80 2 
0.82235 0.00411 5708.83  97.89 2629.73 163.16 2 
